,BAA,AAA,UNRATE,GS10,TB3MS,HOUST,RPI,INDPRO,INVEST,CPIAUCSL,GDPC1,Covid
1966-04-01,0.0866666666666666,0.05000000000000012,0.0,-0.020000000000000167,-0.029999999999999954,-0.05162276578930728,0.0024493480765723774,0.0052530933336871755,0.0011993808052889559,-0.0007284770877813429,1.363555117326598,0
1966-07-01,0.16999999999999993,0.13999999999999999,-0.033333333333333215,0.12333333333333336,0.29000000000000004,-0.04411188310922635,0.005002360020170589,0.005172544077379253,0.008307649165643305,0.0007103930187470908,3.373068235302412,0
1966-10-01,0.029999999999999954,-0.03333333333333351,0.033333333333333215,-0.11333333333333329,-0.13666666666666671,-0.01834123383207764,0.00334013020694357,0.0007681492865874162,0.00308694409984156,-0.0006141002459768193,3.2682256540745414,0
1967-01-01,-0.11000000000000003,-0.0866666666666666,0.0,-0.09999999999999994,-0.2333333333333334,0.02151284037919036,0.005522891338260412,-0.004117404541533236,-0.002144410707215568,-0.00040526854029672893,3.527572719993799,0
1967-04-01,0.10000000000000024,0.1033333333333335,0.03333333333333336,0.15999999999999984,-0.2399999999999999,0.05568469488772217,0.001652048260098719,0.00016648454758438902,-0.006875910779990058,0.002008038201126864,0.24533062826463947,0
1967-07-01,0.08333333333333333,0.06999999999999999,-0.03333333333333336,0.09333333333333342,0.2933333333333333,0.043272859722575774,0.0035335290675030015,0.005024501026866357,0.009983720006003042,-0.0010144954884142205,3.7665150191052987,0
1967-10-01,0.17666666666666644,0.18000000000000002,0.0,0.13333333333333344,0.18333333333333326,-0.027620532026652118,0.0034649850560134845,0.011007674233654749,-0.008027153379683702,-1.1705969460281315e-05,3.004104190667789,0
1968-01-01,-0.02666666666666669,-0.02666666666666669,-0.033333333333333215,0.013333333333333345,0.06666666666666672,0.038012783476484145,0.007181854151194618,0.0018725819125136784,0.0007683324610345821,-8.600042140945638e-06,8.075025352778908,0
1968-04-01,0.07333333333333354,0.05666666666666664,0.0,-0.006666666666666821,0.11666666666666654,-0.014166766892916923,0.004766359434741574,0.00542270307727873,-0.004269960562108821,0.0009535509373882848,6.626302827451269,0
1968-07-01,-0.09333333333333342,-0.1033333333333335,-0.10000000000000009,-0.0866666666666666,-0.10999999999999972,0.03402704099016359,0.005125717504697036,0.0016768845020784795,0.011087186155941767,-0.0009757646443642187,3.086138255497417,0
1968-10-01,0.1466666666666668,0.16000000000000014,0.0,0.19000000000000009,0.25666666666666654,-0.001718216862887978,0.0034262192544278016,0.005996461675470854,-0.001994857300306722,0.0009269162452832566,1.568019021696898,0
