date,forecast_AR,forecast_ADL,forecast_RF,actual,forecast_Ensemble,CI_Lower,CI_Upper
1991-07-01,2.487,4.036,,2.016,3.261,-2.317,8.84
1991-10-01,2.929,0.755,,1.392,1.842,-3.737,7.421
1992-01-01,2.808,3.558,,4.761,3.183,-2.396,8.762
1992-04-01,2.844,1.846,,4.314,2.345,-3.234,7.924
1992-07-01,3.151,3.341,,3.933,3.246,-2.333,8.825
1992-10-01,3.098,4.437,3.796,4.15,3.777,-1.802,9.356
1993-01-01,3.068,4.578,3.552,0.667,3.732,-1.846,9.311
1993-04-01,2.99,1.896,2.95,2.322,2.612,-2.967,8.191
1993-07-01,2.706,5.142,2.833,1.904,3.56,-2.018,9.139
1993-10-01,2.851,4.656,4.476,5.404,3.995,-1.584,9.573
1994-01-01,2.91,3.718,3.764,3.863,3.464,-2.115,9.043
1994-04-01,3.199,4.984,4.355,5.384,4.179,-1.399,9.758
1994-07-01,3.096,3.803,4.135,2.332,3.678,-1.901,9.257
1994-10-01,3.154,6.214,5.589,4.556,4.985,-0.593,10.564
1995-01-01,2.927,4.138,3.904,1.417,3.656,-1.923,9.235
1995-04-01,3.05,1.839,3.211,1.192,2.7,-2.879,8.278
1995-07-01,2.745,3.8,3.347,3.389,3.297,-2.281,8.876
1995-10-01,2.786,3.527,3.225,2.707,3.179,-2.399,8.758
1996-01-01,2.975,3.656,3.152,2.985,3.261,-2.318,8.84
1996-04-01,2.918,5.154,5.767,6.617,4.613,-0.966,10.192
1996-07-01,3.047,3.718,3.688,3.572,3.484,-2.095,9.063
1996-10-01,3.306,2.783,4.585,4.132,3.558,-2.021,9.137
1997-01-01,3.033,4.38,5.594,2.573,4.336,-1.243,9.914
1997-04-01,3.042,4.951,4.239,6.606,4.077,-1.502,9.656
1997-07-01,3.008,4.014,5.853,4.963,4.292,-1.287,9.871
1997-10-01,3.344,5.906,6.067,3.401,5.106,-0.473,10.685
1998-01-01,3.144,3.853,3.566,3.995,3.521,-2.058,9.1
1998-04-01,3.013,4.769,3.147,3.686,3.643,-1.936,9.222
1998-07-01,3.06,1.922,3.272,5.004,2.751,-2.827,8.33
1998-10-01,3.068,4.364,4.326,6.386,3.919,-1.659,9.498
1999-01-01,3.232,4.265,3.696,3.74,3.731,-1.848,9.31
1999-04-01,3.289,2.077,3.281,3.325,2.883,-2.696,8.461
1999-07-01,3.026,2.573,3.382,5.269,2.994,-2.585,8.573
1999-10-01,3.041,4.923,4.703,6.509,4.223,-1.356,9.801
2000-01-01,3.261,3.171,3.486,1.449,3.306,-2.273,8.885
2000-04-01,3.236,3.697,3.561,7.22,3.498,-2.081,9.077
2000-07-01,2.918,2.566,2.259,0.408,2.581,-2.998,8.16
2000-10-01,3.274,2.28,1.542,2.381,2.365,-3.214,7.944
2001-01-01,2.683,0.253,1.063,-1.313,1.333,-4.246,6.912
2001-04-01,2.766,1.146,0.159,2.49,1.357,-4.222,6.936
2001-07-01,2.523,-2.918,0.538,-1.606,0.048,-5.531,5.626
2001-10-01,2.768,0.314,0.664,1.098,1.249,-4.33,6.828
2002-01-01,2.456,2.526,3.265,3.332,2.749,-2.83,8.328
2002-04-01,2.775,3.311,4.583,2.443,3.557,-2.022,9.135
2002-07-01,2.962,2.881,2.997,1.623,2.947,-2.632,8.526
2002-10-01,2.855,1.371,2.675,0.494,2.3,-3.279,7.879
2003-01-01,2.745,3.905,3.26,2.101,3.303,-2.275,8.882
2003-04-01,2.683,1.376,1.257,3.527,1.772,-3.807,7.351
2003-07-01,2.876,4.355,3.195,6.598,3.475,-2.103,9.054
2003-10-01,3.098,4.056,3.583,4.616,3.579,-2.0,9.158
2004-01-01,3.334,1.351,3.308,2.26,2.664,-2.915,8.243
2004-04-01,3.079,4.216,2.671,3.088,3.322,-2.257,8.901
2004-07-01,2.879,3.406,2.676,3.776,2.987,-2.592,8.566
2004-10-01,2.977,4.16,4.378,4.06,3.838,-1.741,9.417
2005-01-01,3.05,5.681,4.362,4.413,4.364,-1.215,9.943
2005-04-01,3.087,2.875,2.737,1.966,2.9,-2.679,8.479
2005-07-01,3.051,1.918,2.064,3.123,2.344,-3.234,7.923
2005-10-01,2.852,3.216,3.578,2.216,3.215,-2.363,8.794
2006-01-01,2.936,5.179,3.512,5.346,3.876,-1.703,9.455
2006-04-01,2.938,3.346,2.463,1.034,2.916,-2.663,8.494
2006-07-01,3.114,3.329,1.781,0.599,2.741,-2.838,8.32
